TUMOR MAPPING/ALIGNING SUMMARY,,Total input reads,1930842890,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked reads,238058216,12.33
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked and mate reads removed,NA
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique reads (excl. duplicate marked reads),1692784674,87.67
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with mate sequenced,1930842890,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Reads without mate sequenced,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,QC-failed reads,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads,1923641058,99.63
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads adjusted for filtered mapping,1923641058,99.63
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R1,965209648,99.98
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R2,958431410,99.28
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique & mapped reads (excl. duplicate marked reads),1685582842,87.30
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads,7201832,0.37
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads adjusted for filtered mapping,7201832,0.37
TUMOR MAPPING/ALIGNING SUMMARY,,Adjustment of reads matching non-reference decoys,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Singleton reads (itself mapped; mate unmapped),7009082,0.36
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads (itself & mate mapped),1916631976,99.26
TUMOR MAPPING/ALIGNING SUMMARY,,Properly paired reads,1873664738,97.04
TUMOR MAPPING/ALIGNING SUMMARY,,Not properly paired reads (discordant),42967238,2.23
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes,30229654,1.58
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes (MAPQ>=10),13303730,0.69
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [40:inf),1742600530,90.25
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [30:40),6960889,0.36
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [20:30),15526213,0.80
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [10:20),24378976,1.26
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [ 0:10),134174450,6.95
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ NA (Unmapped reads),7201832,0.37
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with indel R1,32048591,3.32
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with indel R2,30832312,3.22
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases,290181893062
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases R1,145121452458
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases R2,145060440604
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped bases R1,145095819226
