1	249250621	110798579	200563
2	243199373	111324876	201186
3	198022430	72114131	131303
4	191154276	93879842	163182
5	180915260	83313335	145485
6	171115067	69260840	124309
7	159138663	76784043	141097
8	146364022	72827477	132896
9	141213431	57045258	105137
10	135534747	73060703	133008
11	135006516	54529144	103637
12	133851895	61328671	111126
13	115169878	44738926	78237
14	107349540	41194577	76116
15	102531392	37824892	71118
16	90354753	41330174	79879
17	81195210	46557401	92739
18	78077248	36877144	65854
19	59128983	27320953	56435
20	63025520	28343787	57686
21	48129895	18503580	39438
22	51304566	16255371	36449
X	155270560	81702579	146157
Y	59373566	3675378	18746
MT	16569	1554063	5742
GL000207.1	4262	3505	93
GL000226.1	15008	2663228	3161
GL000229.1	19913	42237	137
GL000231.1	27386	58242	119
GL000210.1	27682	5578	13
GL000239.1	33824	39561	70
GL000235.1	34474	51852	151
GL000201.1	36148	9225	30
GL000247.1	36422	18614	37
GL000245.1	36651	41930	64
GL000197.1	37175	8740	25
GL000203.1	37498	26847	30
GL000246.1	38154	9296	13
GL000249.1	38502	8958	17
GL000196.1	38914	9446	12
GL000248.1	39786	9499	18
GL000244.1	39929	17768	37
GL000238.1	39939	8658	12
GL000202.1	40103	12898	37
GL000234.1	40531	99107	239
GL000232.1	40652	128384	220
GL000206.1	41001	14130	41
GL000240.1	41933	13232	31
GL000236.1	41934	15019	29
GL000241.1	42152	113135	188
GL000243.1	43341	37243	90
GL000242.1	43523	7733	12
GL000230.1	43691	38390	58
GL000237.1	45867	63765	139
GL000233.1	45941	40324	56
GL000204.1	81310	33400	342
GL000198.1	90085	237721	353
GL000208.1	92689	249566	371
GL000191.1	106433	17673	38
GL000227.1	128374	24134	53
GL000228.1	129120	579265	1262
GL000214.1	137718	559731	916
GL000221.1	155397	176243	276
GL000209.1	159169	48458	101
GL000218.1	161147	154439	264
GL000220.1	161802	4516205	14239
GL000213.1	164239	45345	76
GL000211.1	166566	96672	162
GL000199.1	169874	2941213	3313
GL000217.1	172149	154383	333
GL000216.1	172294	1446469	4578
GL000215.1	172545	30244	67
GL000205.1	174588	295872	501
GL000219.1	179198	176517	614
GL000224.1	179693	515960	1041
GL000223.1	180455	40337	123
GL000195.1	182896	330149	569
GL000212.1	186858	203347	3887
GL000222.1	186861	116555	585
GL000200.1	187035	25331	52
GL000193.1	189789	289213	487
GL000194.1	191469	237416	394
GL000225.1	211173	1465054	5395
GL000192.1	547496	339077	589
*	0	0	1212678
