chr1,14180213317,61.5244
chr2,18151516616,75.4589
chr3,12470171069,62.9488
chr4,14330285480,75.5209
chr5,13518419215,75.529
chr6,12891426352,75.7969
chr7,11708095493,73.6497
chr8,10887563408,75.2069
chr9,8926801648,73.2963
chr10,10178961261,76.3825
chr11,10196974892,75.7949
chr12,10092355159,75.8038
chr13,5106379106,52.1149
chr14,5444413629,61.5062
chr15,6317242075,74.6354
chr16,6367258795,77.8337
chr17,6212141666,74.9171
chr18,5792092143,72.3201
chr19,4390137923,78.7237
chr20,4930299740,77.1031
chr21,2914080675,76.6086
chr22,1903632569,51.3496
chrX,5730526195,36.9967
chrY,751955747,31.8135
chrM,249940556,15085.7
chr1_KI270706v1_random,14488333,82.7645
chr1_KI270707v1_random,2273445,70.9742
chr1_KI270708v1_random,9233113,72.3133
chr1_KI270709v1_random,27373800,409.42
chr1_KI270710v1_random,3372788,83.9503
chr1_KI270711v1_random,2671330,63.2867
chr1_KI270712v1_random,9109239,51.7444
chr1_KI270713v1_random,2269095,55.6901
chr1_KI270714v1_random,829735,19.8896
chr2_KI270715v1_random,3539129,21.918
chr2_KI270716v1_random,2092575,13.6059
chr3_GL000221v1_random,10201436,65.6476
chr4_GL000008v2_random,20477784,97.6486
chr5_GL000208v1_random,8217905,88.6611
chr9_KI270717v1_random,1106966,27.6313
chr9_KI270718v1_random,1637551,43.0323
chr9_KI270719v1_random,14879563,84.139
chr9_KI270720v1_random,4268956,109.32
chr11_KI270721v1_random,917315,9.14425
chr14_GL000009v2_random,20206559,100.177
chr14_GL000225v1_random,43555047,206.253
chr14_KI270722v1_random,10812915,55.7223
chr14_GL000194v1_random,18785657,98.1133
chr14_KI270723v1_random,3239255,84.9864
chr14_KI270724v1_random,4837771,122.305
chr14_KI270725v1_random,14062951,81.3781
chr14_KI270726v1_random,75569,1.72773
chr15_KI270727v1_random,63592,0.141868
chr16_KI270728v1_random,5032395,3.19972
chr17_GL000205v2_random,34832448,187.684
chr17_KI270729v1_random,33651354,124.874
chr17_KI270730v1_random,6398624,60.0348
chr22_KI270731v1_random,2751645,18.2526
chr22_KI270732v1_random,9691209,233.281
chr22_KI270733v1_random,40968872,227.894
chr22_KI270734v1_random,1984584,12.0241
chr22_KI270735v1_random,9929956,231.949
chr22_KI270736v1_random,15049505,88.7159
chr22_KI270737v1_random,2037966,19.7044
chr22_KI270738v1_random,4447310,46.4132
chr22_KI270739v1_random,303703,4.19346
chrY_KI270740v1_random,794066,21.3229
chrUn_KI270302v1,100713,44.2889
chrUn_KI270304v1,11699,5.4037
chrUn_KI270303v1,89344,46.0062
chrUn_KI270305v1,52140,35.4212
chrUn_KI270322v1,637803,102.739
chrUn_KI270320v1,1658295,375.52
chrUn_KI270310v1,60347,50.2473
chrUn_KI270316v1,1511,1.0464
chrUn_KI270315v1,2561,1.12522
chrUn_KI270312v1,2808,2.81363
chrUn_KI270311v1,189102,63.7566
chrUn_KI270317v1,9397,2.59299
chrUn_KI270412v1,58645,49.7413
chrUn_KI270411v1,308628,116.639
chrUn_KI270414v1,50823,20.419
chrUn_KI270419v1,95401,92.7123
chrUn_KI270418v1,413560,192.802
chrUn_KI270420v1,324762,139.923
chrUn_KI270424v1,70261,32.8322
chrUn_KI270417v1,143615,70.2961
chrUn_KI270422v1,2061,1.4263
chrUn_KI270423v1,51031,52.0194
chrUn_KI270425v1,13391,7.10775
chrUn_KI270429v1,176990,130.044
chrUn_KI270442v1,65707602,177.096
chrUn_KI270466v1,11802699,9572.34
chrUn_KI270465v1,909240,512.537
chrUn_KI270467v1,46312863,11814.5
chrUn_KI270435v1,10792790,116.174
chrUn_KI270438v1,169959816,2023.07
chrUn_KI270468v1,521253,128.546
chrUn_KI270510v1,427183,176.887
chrUn_KI270509v1,764531,329.824
chrUn_KI270518v1,543055,248.424
chrUn_KI270508v1,649140,332.722
chrUn_KI270516v1,396719,305.168
chrUn_KI270512v1,2220056,97.8472
chrUn_KI270519v1,17892832,129.971
chrUn_KI270522v1,347010,61.1579
chrUn_KI270511v1,785382,96.6386
chrUn_KI270515v1,1887899,296.793
chrUn_KI270507v1,1206033,225.3
chrUn_KI270517v1,944238,290.267
