chr1	249250621	139356163	240835
chr2	243199373	148736519	252675
chr3	198022430	114900580	192605
chr4	191154276	119038841	195398
chr5	180915260	105312345	172687
chr6	171115067	100407565	168497
chr7	159138663	94779996	166655
chr8	146364022	91949213	159917
chr9	141213431	71836361	125017
chr10	135534747	97667331	170432
chr11	135006516	78987600	141422
chr12	133851895	76782978	131504
chr13	115169878	56484434	92037
chr14	107349540	52360006	90427
chr15	102531392	49242277	86768
chr16	90354753	52560985	98745
chr17	81195210	47725803	93323
chr18	78077248	46922977	78991
chr19	59128983	34456645	68913
chr20	63025520	35787192	69553
chr21	48129895	24228672	58657
chr22	51304566	20971999	63366
chrX	155270560	46945853	89157
chrY	59373566	16012345	43912
chrM	16569	4708573	11847
*	0	0	2179048
