chr1	249250621	110798579	200563
chr2	243199373	111324876	201186
chr3	198022430	72114131	131303
chr4	191154276	93879842	163182
chr5	180915260	83313335	145485
chr6	171115067	69260840	124309
chr7	159138663	76784043	141097
chr8	146364022	72827477	132896
chr9	141213431	57045258	105137
chr10	135534747	73060703	133008
chr11	135006516	54529144	103637
chr12	133851895	61328671	111126
chr13	115169878	44738926	78237
chr14	107349540	41194577	76116
chr15	102531392	37824892	71118
chr16	90354753	41330174	79879
chr17	81195210	46557401	92739
chr18	78077248	36877144	65854
chr19	59128983	27320953	56435
chr20	63025520	28343787	57686
chr21	48129895	18503580	39438
chr22	51304566	16255371	36449
chrX	155270560	81702579	146157
chrY	59373566	3675378	18746
chrM	16569	1554063	5742
*	0	0	1212678
