chr1	249250621	57921322	117447
chr2	243199373	60488741	120745
chr3	198022430	46950762	92547
chr4	191154276	48571674	92494
chr5	180915260	43064727	83978
chr6	171115067	41046086	80766
chr7	159138663	39319761	79883
chr8	146364022	38398683	76622
chr9	141213431	29586393	60329
chr10	135534747	37388890	75825
chr11	135006516	32544094	67866
chr12	133851895	31521205	63685
chr13	115169878	23085554	44866
chr14	107349540	21420536	43480
chr15	102531392	20244635	41486
chr16	90354753	21702093	46139
chr17	81195210	19887340	44750
chr18	78077248	19334844	38142
chr19	59128983	14575884	32298
chr20	63025520	14751707	33213
chr21	48129895	9763210	22442
chr22	51304566	8651389	21022
chrX	155270560	36686647	73617
chrY	59373566	1993388	10091
chrM	16569	208512	780
*	0	0	646754
