chr1	249250621	67889179	108729
chr2	243199373	71932305	112506
chr3	198022430	55683608	86518
chr4	191154276	59002295	90916
chr5	180915260	51077678	77575
chr6	171115067	49066485	75069
chr7	159138663	45948672	74212
chr8	146364022	44969501	71976
chr9	141213431	35068164	56047
chr10	135534747	45745355	74749
chr11	135006516	38673502	64522
chr12	133851895	37101241	58018
chr13	115169878	27445412	41331
chr14	107349540	25229029	40697
chr15	102531392	23962942	39303
chr16	90354753	25563170	44512
chr17	81195210	23039506	42160
chr18	78077248	22557040	34771
chr19	59128983	16602489	30663
chr20	63025520	17119572	30370
chr21	48129895	11843031	29915
chr22	51304566	9980316	32712
chrX	155270560	22795470	39573
chrY	59373566	8530862	22505
chrM	16569	594521	1243
*	0	0	716054
