1	249250621	140186786	237213
2	243199373	164191100	270384
3	198022430	113780056	187143
4	191154276	130706319	208754
5	180915260	116761608	183958
6	171115067	111860426	181878
7	159138663	104915334	180557
8	146364022	103780213	176292
9	141213431	80208926	135002
10	135534747	104789045	176275
11	135006516	88197141	155740
12	133851895	85004462	140994
13	115169878	62881076	99188
14	107349540	58204723	97257
15	102531392	53780297	91382
16	90354753	59418678	107151
17	81195210	51020688	98044
18	78077248	50491198	82308
19	59128983	37381778	72859
20	63025520	39457090	73880
21	48129895	26586691	75759
22	51304566	23734562	91765
X	155270560	51830626	94785
Y	59373566	20466307	50837
MT	16569	3423494	9967
GL000207.1	4262	4991	115
GL000226.1	15008	2484583	2977
GL000229.1	19913	59986	199
GL000231.1	27386	82377	165
GL000210.1	27682	7905	26
GL000239.1	33824	50817	81
GL000235.1	34474	88844	241
GL000201.1	36148	12360	40
GL000247.1	36422	25366	45
GL000245.1	36651	62054	69
GL000197.1	37175	11295	31
GL000203.1	37498	36147	32
GL000246.1	38154	12868	21
GL000249.1	38502	11845	25
GL000196.1	38914	11612	25
GL000248.1	39786	14660	23
GL000244.1	39929	22619	77
GL000238.1	39939	14810	18
GL000202.1	40103	19146	47
GL000234.1	40531	145175	268
GL000232.1	40652	186155	297
GL000206.1	41001	13525	36
GL000240.1	41933	40971	55
GL000236.1	41934	22540	36
GL000241.1	42152	161525	259
GL000243.1	43341	60441	124
GL000242.1	43523	11954	22
GL000230.1	43691	46918	58
GL000237.1	45867	80811	145
GL000233.1	45941	47396	71
GL000204.1	81310	42244	407
GL000198.1	90085	300836	428
GL000208.1	92689	454731	613
GL000191.1	106433	31132	65
GL000227.1	128374	40611	82
GL000228.1	129120	667071	1660
GL000214.1	137718	699590	1110
GL000221.1	155397	256854	362
GL000209.1	159169	49433	85
GL000218.1	161147	232895	363
GL000220.1	161802	6765116	18563
GL000213.1	164239	54231	86
GL000211.1	166566	134625	215
GL000199.1	169874	3661145	4292
GL000217.1	172149	198171	418
GL000216.1	172294	1719764	6285
GL000215.1	172545	44598	78
GL000205.1	174588	401879	652
GL000219.1	179198	454884	1067
GL000224.1	179693	890648	1465
GL000223.1	180455	54056	106
GL000195.1	182896	466867	772
GL000212.1	186858	1409850	147097
GL000222.1	186861	198711	753
GL000200.1	187035	47304	88
GL000193.1	189789	404640	663
GL000194.1	191469	315589	507
GL000225.1	211173	1909192	7444
GL000192.1	547496	345061	557
*	0	0	2036468
